"date","aret","aret_l1","aret_l5","aret_l22","vol_l1","vol_l5","vol_l22","hml_l1","hml_l5","hml_l22","vxv_l1","vxv_l5","vxv_l22","vxn_l1","vxn_l5","vxn_l22","vxd_l1","vxd_l5","vxd_l22"
"2018-01-05",1.60332935792402,0.446602534298624,1.02187131479781,0.742920439800011,2.82848456695461,11.3116702324379,20.3037473688052,0.560497283935547,0.701099395751953,0.805431192571467,12.24,12.604,12.6431818181818,13.97,14.672,14.055,10.09,10.882,11.4945454545455
"2018-01-08",1.43216329067153,1.60332935792402,1.27768167042669,0.703359319123347,15.9501576197464,14.2266832677726,19.3577209739675,0.957000732421875,0.835299682617188,0.74165864424272,12.06,12.464,12.5754545454545,13.48,14.444,13.8481818181818,10.21,10.72,11.3190909090909
"2018-01-09",0.466481239883976,1.43216329067153,1.2817147990067,0.738014902369854,18.8382650170571,10.4291930112989,18.5126575710791,1.05249786376953,0.880799102783203,0.711022116921165,12.15,12.276,12.5122727272727,13.84,14.076,13.6990909090909,10.52,10.468,11.1686363636364
"2018-01-10",0.130035970997255,0.466481239883976,1.04360317509949,0.716496534820847,15.6017904734902,13.5042223604422,17.5965037360904,0.878498077392578,0.861598968505859,0.705931230024858,12.41,12.236,12.465,14.63,14.016,13.6045454545455,10.91,10.44,11.0627272727273
"2018-01-11",1.76613978168163,0.130035970997255,0.815722478755081,0.693154618620887,30.9765177503579,16.8390430855212,18.4247262751226,0.854999542236328,0.860698699951172,0.717090259898792,12.36,12.244,12.4390909090909,15.28,14.24,13.5781818181818,10.66,10.478,10.9722727272727
"2018-01-12",2.20933658739639,1.76613978168163,1.07962992823168,0.76478047223444,15.1381185087317,19.3009698738766,18.2298481313864,1.01549911499023,0.951699066162108,0.727590214122425,12.16,12.228,12.4254545454545,14.77,14.4,13.5940909090909,10.54,10.568,10.9204545454545
"2018-01-16",0.0260621146199291,2.20933658739639,1.20083137412616,0.838215777107983,55.5024693543125,27.2114322207899,19.5934567124191,1.61850357055664,1.08399963378906,0.771840355613015,12.2,12.256,12.4218181818182,14.57,14.618,13.6840909090909,10.9,10.706,10.9140909090909
"2018-01-17",0.758500217347535,0.0260621146199291,0.919611138915837,0.824443832247746,28.2492924382204,29.0936377050225,20.6252439156222,2.38200378417969,1.34990081787109,0.852863311767578,13.23,12.472,12.4559090909091,16.34,15.118,13.8422727272727,12.58,11.118,10.9672727272727
"2018-01-18",0.12981338528073,0.758500217347535,0.978014934408549,0.855213216084632,31.8000276810132,32.3332851465271,21.355661693539,1.65599822998047,1.50540084838867,0.904045104980469,13.25,12.64,12.49,16.2,15.432,13.9995454545455,12.99,11.534,11.0422727272727
"2018-01-19",0.0973699405016681,0.12981338528073,0.977970417265244,0.821731374279782,26.5954775123998,31.4570770989355,21.6297406379773,1.02900695800781,1.54020233154297,0.915636409412731,13.58,12.884,12.5254545454545,16.95,15.766,14.2068181818182,12.95,11.992,11.1036363636364
"2018-01-22",2.4968098162379,0.0973699405016681,0.644216449029251,0.807306424511985,12.8374584386087,30.9969450849109,20.4108159670746,1.00050354003906,1.53720321655273,0.930613777854225,13.04,13.06,12.5690909090909,16.17,16.046,14.4018181818182,12.07,12.298,11.1718181818182
"2018-01-23",2.6196229930159,2.4968098162379,0.701711094797552,0.876910505080784,10.0651491430771,21.9094810426638,18.6721575796527,1.53949737548828,1.52140197753906,0.969068353826349,12.99,13.218,12.6109090909091,16.29,16.39,14.5727272727273,12.58,12.634,11.2163636363636
"2018-01-24",0.369839736003641,2.6196229930159,1.22042327047675,0.983750724697902,22.2017340700148,20.6999693690227,19.0895855555125,1.37800598144531,1.32060241699219,1.00027327104048,13.22,13.216,12.6431818181818,16.75,16.472,14.7513636363636,12.76,12.67,11.2759090909091
"2018-01-25",1.49446827384585,0.369839736003641,1.14269117420797,0.963044671354905,27.5287662730751,19.8457170874351,19.9435661234701,2.50799560546875,1.49100189208984,1.08018216219815,13.53,13.272,12.6959090909091,17.9,16.812,14.9840909090909,13.02,12.676,11.3868181818182
"2018-01-26",1.73385901997323,1.49446827384585,1.41562215192099,1.01992228559468,35.9248947933906,21.7116005436333,21.074157380661,1.03600311279297,1.49240112304687,1.10106867009943,13.68,13.292,12.7563636363636,18.25,17.072,15.2386363636364,13.22,12.73,11.4695454545455
"2018-01-29",1.10863061970523,1.73385901997323,1.7429199678153,1.07390310380969,2.1706730346807,19.5782434628477,19.8445071188464,1.08100128173828,1.50850067138672,1.13477325439453,13.46,13.376,12.8004545454545,17.52,17.342,15.465,12.73,12.862,11.5704545454545
"2018-01-30",1.41062909090053,1.10863061970523,1.46528412850877,1.09173232764393,16.0316724651945,20.7715481272712,19.504599914603,1.54750061035156,1.51010131835937,1.16472781788219,14.99,13.776,12.9081818181818,19.22,17.928,15.7186363636364,14.89,13.324,11.7513636363636
"2018-01-31",0.904913089139736,1.41062909090053,1.2234853480857,1.13465672772618,2.93788085638269,16.9187774845447,19.3140316632701,2.36250305175781,1.70700073242187,1.24556888233532,15.83,14.298,13.0527272727273,20.35,18.648,15.9940909090909,15.64,13.9,11.9809090909091
"2018-02-01",4.28734452292581,0.904913089139736,1.33050001871291,1.16104925087891,8.99716758896929,13.2124577477236,19.6604896244472,1.12699890136719,1.43080139160156,1.28379613702947,14.9,14.572,13.15,19.65,18.998,16.2227272727273,14.67,14.23,12.1468181818182
"2018-02-02",2.83356973362237,4.28734452292581,1.88907526852891,1.2917468361132,34.9639811255191,13.0202750141493,19.530410752906,3.73699951171875,1.97100067138672,1.41615971651944,14.72,14.78,13.2240909090909,19.15,19.178,16.3804545454545,14.6,14.506,12.275
"2018-02-05",2.83356973362237,2.83356973362237,2.10901741125873,1.34522548948603,19.9467999081818,16.5755003888495,20.4267814883791,4.20000457763672,2.59480133056641,1.56277361783114,17.03,15.494,13.425,20.66,19.806,16.6409090909091,17.32,15.424,12.56
"2018-02-06",3.73096227014251,2.83356973362237,2.45400523404216,1.41632232043617,3.26544107939917,14.0222541116904,19.925100895399,6.91299438476562,3.66790008544922,1.83793241327459,28.13,18.122,14.1436363636364,33.02,22.566,17.4981818181818,22.9,17.026,13.125
"2018-02-07",1.82267227174373,3.73096227014251,2.91807186989056,1.56561139933817,3.79625228406191,14.1939283972263,19.9690903370857,4.61000061035156,4.11739959716797,2.0220007462935,23.75,19.706,14.6668181818182,26.7,23.836,18.0768181818182,25.35,18.968,13.8186363636364
"2018-02-08",4.79117302788108,1.82267227174373,3.10162370641136,1.57558153178452,43.5062630512345,21.0957474896793,21.2216405839715,2.29199981689453,4.35039978027344,2.08268252286044,23.03,21.332,15.1654545454545,24.73,24.852,18.5881818181818,21.49,20.332,14.3313636363636
"2018-02-09",0.810380479141859,4.79117302788108,3.20238940740241,1.72826379256677,18.0383725160819,17.7106257677919,21.1852818339272,4.19049835205078,4.44109954833984,2.22531890869141,27.33,23.854,15.8554545454545,33.89,27.8,19.4995454545455,28.43,23.098,15.1454545454545
"2018-02-12",3.42167280352506,0.810380479141859,2.79775155650631,1.7438955761694,49.9843006855901,23.7181259232735,22.7481232072044,5.87850189208984,4.77679901123047,2.45259180935946,24.92,25.432,16.4240909090909,29.62,29.592,20.1809090909091,28.2,25.274,15.9313636363636
"2018-02-13",2.01953697573565,3.42167280352506,2.91537217048685,1.89351543219339,74.1217030021804,37.8893783078298,24.7092679913782,2.48999786376953,3.89219970703125,2.5269099148837,22.86,24.378,16.9013636363636,24.94,27.976,20.62,26.39,25.972,16.6463636363636
"2018-02-14",2.55041930092581,2.01953697573565,2.57308711160547,1.90503348646858,12.9915050622387,39.7284288634651,24.6116946529012,1.80950164794922,3.33209991455078,2.56300093910911,22.65,24.158,17.3781818181818,23.71,27.378,21.0263636363636,23.93,25.688,17.255
"2018-02-15",0.735375123328286,2.55041930092581,2.71863651744189,1.92053724617446,0.695458764521817,31.1662680061226,22.1204668988198,2.43499755859375,3.36069946289062,2.6001143022017,19.34,23.42,17.7027272727273,20.87,26.606,21.3127272727273,21.29,25.648,17.7272727272727
"2018-02-16",0.898143153936193,0.735375123328286,1.90747693653133,1.95277874657029,5.28029367618075,28.6146522381424,21.0764215005453,1.60499572753906,2.84359893798828,2.56479575417258,19.08,21.77,17.9686363636364,20.85,23.998,21.5177272727273,20.04,23.97,18.0663636363636
"2018-02-20",1.34796445651553,0.898143153936193,1.9250294714902,1.95912615277887,23.4163412107641,23.3010603431772,20.6953448428067,0.961997985839844,1.86029815673828,2.53325028852983,19.17,20.62,18.2377272727273,20.46,22.166,21.7113636363636,18.83,22.096,18.3318181818182
"2018-02-21",0.987380009044347,1.34796445651553,1.51028780208829,2.01449665601681,37.3709197393449,15.95090369061,21.1851376713042,2.11399841308594,1.78509826660156,2.58256808194247,20.01,20.05,18.53,21.67,21.512,21.9259090909091,19.8,20.778,18.6431818181818
"2018-02-22",0.163051205804177,0.987380009044347,1.30385640875003,2.05495165913239,3.04312900846817,13.9612284798559,20.7399408790251,1.22850036621094,1.66889801025391,2.59293157404119,20.03,19.526,18.8477272727273,22.49,21.268,22.2131818181818,19.56,19.904,18.9836363636364
"2018-02-23",0.982142884237902,0.163051205804177,0.826382789725706,1.94887172229449,26.0600387348408,19.0341444739197,21.4669813150144,1.33899688720703,1.44969787597656,2.58381791548295,19.06,19.47,19.1236363636364,20.91,21.276,22.4231818181818,18.25,19.296,19.2413636363636
"2018-02-26",1.45273474044485,0.982142884237902,0.875736341907629,1.87444080825913,9.49376755527496,19.8768392497386,20.8893464734353,0.675003051757812,1.26369934082031,2.55186323686079,17.5,19.154,19.3181818181818,18.16,20.738,22.4872727272727,16.19,18.526,19.3972727272727
"2018-02-27",0.657241827364707,1.45273474044485,0.986654659209361,1.923663308461,11.4687428363862,17.487319574863,20.1593454081312,0.791999816894531,1.22969970703125,2.47386342828924,16.92,18.704,19.4722727272727,18.12,20.27,22.4972727272727,15.83,17.926,19.525
"2018-02-28",0.0310783002106518,0.657241827364707,0.848510133379197,1.88560756089368,2.99495950391382,10.6121275277768,18.6625301677005,0.978500366210938,1.00260009765625,2.47124966708097,19.02,18.506,19.715,20.49,20.034,22.5990909090909,17.98,17.562,19.7413636363636
"2018-03-01",1.26419323601734,0.0310783002106518,0.657249791612458,1.80820843726811,6.30423858738638,11.2643494435604,18.8504195110053,0.834999084472656,0.923899841308593,2.46006774902344,19.89,18.478,20.0072727272727,22.01,19.938,22.8031818181818,18.26,17.302,19.9927272727273
"2018-03-02",0.454283232326258,1.26419323601734,0.87747819765509,1.81527946528229,41.4680544034681,14.3459525772859,20.0066186900177,2.67449951171875,1.19100036621094,2.51129497181285,21.42,18.95,20.2995454545455,24.74,20.704,23.0540909090909,20.86,17.824,20.2640909090909
"2018-03-05",1.54507491252156,0.454283232326258,0.771906267272762,1.77180919898346,3.68966368857144,13.1851318039452,20.0407906369354,2.30199432373047,1.51639862060547,2.50854457508434,19.86,19.422,20.4827272727273,21.53,21.378,23.1077272727273,19.46,18.478,20.4377272727273
"2018-03-06",0.916635335491822,1.54507491252156,0.790374301688104,1.80090746368264,23.0032395938871,15.4920311554454,20.6774302735225,2.218994140625,1.80179748535156,2.55818072232333,19.21,19.88,20.6786363636364,20.6,21.874,23.1509090909091,18.63,19.038,20.6177272727273
"2018-03-07",0.477508766541401,0.916635335491822,0.842253003313527,1.64769340970837,13.7461337010478,17.6422659948722,19.7129826633193,0.706497192382812,1.74739685058594,2.42043061689897,19.24,19.924,20.8840909090909,20.6,21.896,23.2168181818182,18.37,19.116,20.7890909090909
"2018-03-08",0.443033104797319,0.477508766541401,0.931539096579677,1.5405997293865,8.87965948663307,18.1573501747215,19.2099308259762,1.16949462890625,1.81429595947266,2.28268016468395,18.84,19.714,20.9663636363636,20.43,21.58,23.2063636363636,18.36,19.136,20.8363636363636
"2018-03-09",1.72678750393116,0.443033104797319,0.767307070335672,1.43193897353082,7.75582343458758,11.4149039809454,19.4140391148484,0.48150634765625,1.37569732666016,1.9903397993608,18.18,19.066,20.5140909090909,19.26,20.484,22.5809090909091,17.67,18.498,20.5986363636364
"2018-03-12",1.22747844565252,1.72678750393116,1.02180792465665,1.34084012052121,16.0330184780239,13.8835749388359,19.9702557600285,0.992996215820312,1.11389770507812,1.82593050870028,17.01,18.496,20.2077272727273,17.3,19.638,22.1536363636364,15.66,17.738,20.1581818181818
"2018-03-13",0.640823740885832,1.22747844565252,0.958288631282844,1.31378585569889,13.2014021192685,11.9232074439122,18.5927620813027,0.931503295898438,0.856399536132812,1.76408975774592,17.8,18.214,19.97,17.56,19.03,21.8277272727273,14.72,16.956,19.8504545454545
"2018-03-14",0.177412423375145,0.640823740885832,0.903126312361646,1.12513361538092,23.3013127914962,13.8342432620018,18.8319866392761,1.97650146484375,1.110400390625,1.66345353560014,18.05,17.976,19.5481818181818,19.24,18.758,21.1618181818182,15.45,16.372,19.2604545454545
"2018-03-15",0.547069717181792,0.177412423375145,0.843107043728395,1.0963623401188,42.7569560452987,20.609702573735,18.5034709738083,0.777496337890625,1.03200073242187,1.43158964677291,18.78,17.964,19.2690909090909,19.52,18.576,20.7027272727273,16.24,15.948,18.7168181818182
"2018-03-16",0.674698426229181,0.547069717181792,0.863914366205289,0.965698563466829,4.55590186271877,19.9697182593612,15.3413891038328,0.939994812011719,1.12369842529297,1.3611349626021,18.21,17.97,19.0577272727273,18.45,18.414,20.4077272727273,16.08,15.63,18.2481818181818
"2018-03-19",1.71665288985547,0.674698426229181,0.653496550664894,0.904569538489263,28.744861276245,22.5120868190054,16.057450749924,1.09700012207031,1.14449920654297,1.3287485296076,17.74,18.116,18.8345454545455,17.64,18.482,20.1318181818182,15.02,15.502,17.8431818181818
"2018-03-20",2.65580639740204,1.71665288985547,0.751331439505485,0.866671065258793,19.3138419067502,23.7345747765018,16.9037408927526,1.81549835205078,1.32129821777344,1.30058947476474,19.38,18.432,18.8363636363636,22.06,19.382,20.1859090909091,17.85,16.128,17.6868181818182
"2018-03-21",0.29352421813309,2.65580639740204,1.15432797080873,0.953963395898509,36.2108036396513,26.3164729461328,18.3096731638194,2.07949829101562,1.34189758300781,1.32215777310458,18.88,18.598,18.8272727272727,22.13,19.96,20.2440909090909,17.85,16.608,17.5872727272727
"2018-03-22",2.36292416595907,0.29352421813309,1.17755032976032,0.926480716998368,3.6264742820439,18.4903765934818,17.4101337579685,1.34149932861328,1.45469818115234,1.33940783413974,18.71,18.584,18.8063636363636,22.06,20.468,20.3168181818182,17.65,16.89,17.5336363636364
"2018-03-23",3.2471440507134,2.36292416595907,1.54072121951577,0.972615249245802,28.5501115443473,23.2892185298076,17.0091879309231,1.57249450683594,1.58119812011719,1.31479402021928,21.66,19.274,18.8813636363636,26.63,22.104,20.5422727272727,22.06,18.086,17.6363636363636
"2018-03-26",3.95277209884881,3.2471440507134,2.05521034441261,1.0753317965944,23.637712020896,22.2677886787378,17.945305340579,2.68299865722656,1.89839782714844,1.38090757890181,22.79,20.284,19.0068181818182,28.35,24.246,20.8086363636364,22.89,19.66,17.7877272727273
"2018-03-27",3.85319207557959,3.95277209884881,2.50243418621128,1.24759183718733,35.3023647235506,25.4654932420978,18.3654110673385,2.88700103759766,2.11269836425781,1.45127140391957,20.7,20.548,19.0813636363636,25.15,24.864,21.0013636363636,21.45,20.38,17.9331818181818
"2018-03-28",4.48295706239641,3.85319207557959,2.74191132184679,1.37809407315741,21.8685391230579,22.5970403387792,18.9279006840559,4.68250274658203,2.63329925537109,1.63343048095703,21.94,21.16,19.2831818181818,29.01,26.24,21.4945454545455,23.84,21.578,18.2809090909091
"2018-03-29",1.10603976284045,4.48295706239641,3.57979789069946,1.51583145142794,67.1929614770949,35.3103377777894,21.460819713179,3.48649597167969,3.06229858398438,1.75590757890181,22.31,21.88,19.5281818181818,30.19,27.866,22.0431818181818,24.35,22.918,18.6681818181818
"2018-04-02",5.34650662327163,1.10603976284045,3.32842101007573,1.53623135758592,8.55869315052402,31.3120540990247,21.7137166971159,4.51349639892578,3.65049896240234,1.91658921675249,20.55,21.658,19.5977272727273,26.68,27.876,22.3245454545455,21.53,22.812,18.8295454545455
"2018-04-03",1.45152159448934,5.34650662327163,3.74829352458738,1.77784173590688,18.4293120146659,30.2703740977787,22.2648563983558,3.31800079345703,3.77749938964844,2.02945293079723,22.57,21.614,19.7195454545455,29.92,28.19,22.6840909090909,24.74,23.182,19.1240909090909
"2018-04-04",1.3216432521272,1.45152159448934,3.24804342371548,1.78635666129197,2.24606925475328,23.6591150040192,20.4820388915961,2.93349456787109,3.78679809570312,2.04122543334961,21.02,21.678,19.7013636363636,28.05,28.77,22.8345454545455,22.33,23.358,19.1909090909091
"2018-04-05",2.87758198089634,1.3216432521272,2.74173365902501,1.82578211673747,38.206349974616,26.9266771743308,22.0509791773254,3.12550354003906,3.47539825439453,2.07865767045454,20.42,21.374,19.7268181818182,26.29,28.226,23.0509090909091,21.49,22.888,19.2831818181818
"2018-04-06",3.25687914516024,2.87758198089634,2.42065864272499,1.88635061984541,8.49732316330467,15.1875495115728,21.3916193395716,1.62449645996094,3.10299835205078,2.05163504860618,19.61,20.834,19.745,25.03,27.194,23.2522727272727,20.2,22.058,19.3545454545455
"2018-04-09",0.060474808864619,3.25687914516024,2.85082651918895,1.9927253384667,8.64573018663926,15.2049569187958,21.1597828161894,2.61199951171875,2.72269897460937,2.13824879039418,21.2,20.964,19.8340909090909,27.43,27.344,23.5627272727273,23.13,22.378,19.5709090909091
"2018-04-10",2.12089176587762,0.060474808864619,1.79362015630755,1.97376924948139,33.4912839068298,18.2173512972286,22.2784930171075,1.79550170898438,2.41819915771484,2.16670365767045,21.23,20.696,19.9427272727273,26.95,26.75,23.8590909090909,23.18,22.066,19.79
"2018-04-11",0.640523133276982,2.12089176587762,1.9274941905852,2.05003555225777,1.08482209659364,17.9851018655967,21.9752656835623,1.13399505615234,2.05829925537109,2.19636223532937,20.4,20.572,20.0436363636364,25.15,26.17,24.1268181818182,22.04,22.008,19.9886363636364
"2018-04-12",1.49191911097599,0.640523133276982,1.79127016681516,2.00065989904622,17.1822343068822,13.7802787320499,22.0275027666922,1.19450378417969,1.67209930419922,2.20552167025479,20.37,20.562,20.1963636363636,24.69,25.85,24.4627272727273,22.08,22.126,20.2804545454545
"2018-04-13",1.2301877768965,1.49191911097599,1.51413759283109,2.01267992928819,13.3431706635307,14.7494482320951,22.0339467914314,0.853004455566406,1.51780090332031,2.20195354114879,19.28,20.496,20.2636363636364,22.9,25.424,24.7054545454545,20.21,22.128,20.53
"2018-04-16",0.745749315979705,1.2301877768965,1.10879931917834,2.03946920365231,16.1722759368899,16.2547573821453,21.7098996616766,1.76300048828125,1.34800109863281,2.19224895130504,18.55,19.966,20.2863636363636,22.06,24.35,24.8336363636364,19.24,21.35,20.7022727272727
"2018-04-17",4.23309622470054,0.745749315979705,1.24585422060136,2.0653026987707,27.1665794901839,14.9898164988161,21.0012461818986,0.975997924804688,1.18410034179687,2.20127175071023,17.82,19.284,20.2427272727273,20.45,23.05,24.8759090909091,18.61,20.436,20.81
"2018-04-18",1.58397928466014,4.23309622470054,1.66829511236594,2.23284935820337,59.9373951918437,26.7603311178661,23.5185867877679,2.50849914550781,1.45900115966797,2.27256740223278,16.8,18.564,20.1786363636364,19.43,21.906,24.9204545454545,17.66,19.56,20.8818181818182
"2018-04-19",1.88481000138747,1.58397928466014,1.85698634264257,2.27418030631387,2.18730618502718,23.7613454934951,22.3114251927126,1.48450469970703,1.51700134277344,2.29018124667081,16.8,17.85,20.1359090909091,19.38,20.844,24.9995454545455,17.88,18.72,21.0118181818182
"2018-04-20",1.90772318161034,1.88481000138747,1.93556452072487,2.28182381138351,22.1508547321957,25.5228823072281,22.4403803211419,1.47299957275391,1.64100036621094,2.27461312033913,17.12,17.418,20.0331818181818,20.16,20.296,24.9131818181818,17.77,18.232,21.0081818181818
"2018-04-23",0.632440069631901,1.90772318161034,2.07107160166764,2.24782002884752,16.3158431916351,25.5515957581771,21.5360639371412,2.25550079345703,1.73950042724609,2.28261323408647,17.72,17.252,19.9804545454545,21.63,20.21,24.8904545454545,18.56,18.096,21.0404545454545
"2018-04-24",3.88033223009785,0.632440069631901,2.04840975239808,2.26322529482474,21.592447174406,24.4367692950215,22.3526990686122,2.22949981689453,1.99020080566406,2.32297689264471,17.35,17.158,19.9186363636364,22.12,20.544,24.8931818181818,17.63,17.9,21.0395454545455
"2018-04-25",0.00547595449997829,3.88033223009785,1.97785695347754,2.33219838864923,51.7837308086818,22.8060364183892,23.4087726715365,4.55249786376953,2.39900054931641,2.45843159068714,18.23,17.444,19.7627272727273,23.62,21.382,24.7563636363636,18.8,18.128,20.8913636363636
"2018-04-26",3.88145071506028,0.00547595449997829,1.66215628744551,2.18484983882135,12.9052551193737,24.9496262052585,22.9209337214673,2.74849700927734,2.65179901123047,2.46140878850763,18.23,17.73,19.5554545454545,23.07,22.12,24.5163636363636,18.63,18.278,20.6977272727273
"2018-04-27",3.53756136259982,3.88145071506028,2.06148443018007,2.18160795774005,28.9733160797031,26.31411847476,22.6332496922015,2.54599761962891,2.86639862060547,2.44590863314542,17.29,17.764,19.4004545454545,20.36,22.16,24.2986363636364,17.41,18.206,20.5140909090909
"2018-04-30",0.413532610919809,3.53756136259982,2.38745206637796,2.16726110715006,39.4156600765125,30.9340818517354,23.4308460991767,3.53549957275391,3.12239837646484,2.39377212524414,17.08,17.636,19.1795454545455,20.52,21.938,23.9127272727273,16.89,17.872,20.1981818181818
"2018-05-01",1.02465413902966,0.413532610919809,2.34367057463555,1.98228726844658,87.0833890725876,44.0322702313718,24.3349564444264,1.75300598144531,3.027099609375,2.31497712568803,17.34,17.634,18.9536363636364,21.06,21.726,23.4977272727273,17.64,17.874,19.8931818181818
"2018-05-02",0.798239994611816,1.02465413902966,1.77253495642191,1.97858792190972,17.8226805752224,37.2400601846799,24.7560467819126,1.64099884033203,2.4447998046875,2.18440905484286,16.91,17.37,18.7881818181818,19.71,20.944,23.1809090909091,17.33,17.58,19.7022727272727
"2018-05-03",0.152774422597179,0.798239994611816,1.93108776444427,1.77184852969791,4.74317556260608,35.6076442733264,24.1339496704554,1.10700225830078,2.11650085449219,2.08390912142667,17.26,17.176,18.5468181818182,19.76,20.282,22.7190909090909,17.53,17.36,19.3745454545455
"2018-05-04",0.562640396358383,0.152774422597179,1.18535250595166,1.71281456733918,2.51749204744414,30.3164794668746,24.1462870701231,1.43899536132812,1.89510040283203,2.01597733931108,17.03,17.124,18.3654545454545,19.65,20.14,22.3372727272727,17.44,17.366,19.1522727272727
"2018-05-07",1.20652328208237,0.562640396358383,0.590368312703369,1.67831443753151,21.0848506057172,26.6503175727155,23.3680370988096,1.13550567626953,1.41510162353515,1.92552289095792,16.65,17.038,18.1940909090909,18.41,19.718,21.9790909090909,16.53,17.294,18.9268181818182
"2018-05-08",0.485515038643403,1.20652328208237,0.748966446935881,1.60235722394905,9.89835059723312,11.2133098776446,23.4317201639881,0.956001281738281,1.25570068359375,1.89513674649325,16.65,16.9,18.0595454545455,18.71,19.248,21.6918181818182,16.5,17.066,18.7586363636364
"2018-05-09",0.975516740586091,0.485515038643403,0.641138626858631,1.47638612819829,21.4507653324315,11.9389268290864,24.0137672160696,0.718498229980469,1.07120056152344,1.80906850641424,16.48,16.814,17.845,18.48,19.002,21.285,16.2,16.84,18.4436363636364
"2018-05-10",0.0671426948779974,0.975516740586091,0.676593976053486,1.51797894327654,17.0248359718453,14.3952589109342,23.2652923099339,0.800003051757812,1.00980072021484,1.7638185674494,15.78,16.518,17.5972727272727,17.62,18.574,20.8609090909091,15.4,16.414,18.09
"2018-05-11",0.384188707687638,0.0671426948779974,0.659467630509649,1.42462671277655,25.5391681236336,18.9995941261721,24.3768534929812,0.608001708984375,0.843601989746093,1.73990977894176,15.24,16.16,17.3627272727273,16.38,17.92,20.4622727272727,14.97,15.92,17.7686363636364
"2018-05-14",0.0855019821921488,0.384188707687638,0.6237772927755,1.41297514797704,21.876097717767,19.1578435485821,24.5902109207487,0.660499572753906,0.748600769042969,1.71563686024059,14.82,15.794,17.1104545454545,16.19,17.476,20.0759090909091,14.62,15.538,17.4295454545455
"2018-05-15",1.59995822143424,0.0855019821921488,0.399573032797456,1.34904709666868,10.2994540358726,19.23806423631,24.4518601649461,0.556495666503906,0.668699645996094,1.70215918801048,14.53,15.37,16.8945454545455,16.08,16.95,19.7659090909091,14.2,15.078,17.1563636363636
"2018-05-16",0.705571193768062,1.59995822143424,0.622461669355623,1.36585484414767,70.4735484359553,29.0426208570148,26.9200998239945,1.12899780273438,0.750799560546876,1.67334088412198,15.79,15.232,16.7690909090909,17.51,16.756,19.5590909090909,15.62,14.962,16.9918181818182
